"published","link","site","text","title"
2023-11-08 13:56:19,https://www.viva.co.id/showbiz/gosip/1655390-pakar-investigasi-narkoba-akui-kesulitan-soal-kasus-g-dragon,viva.co.id,"Baca Juga : Pakar Investigasi Mengaku Sulit Menentukan Gestur G-Dragon Terkait NarkobaSaat mendatangi kantor kepolisian Incheon, G-Dragon juga sempat menjalani tes narkoba.
Usai menjalani 4 jam tes narkoba diketahui hasil tes terhadap pemilik nam",Pakar Investigasi Narkoba Akui Kesulitan Soal Kasus G-Dragon
2023-11-08 13:54:28,https://travel.tribunnews.com/2023/11/08/kunjungi-toko-dekorasi-halloween-seorang-antropolig-malah-temukan-tengkorak-manusia-asli,tribunnews.com,"Seorang antropolog menemukan tengkorak manusia asli saat mengunjungi toko barang bekas yang menjual dekorasi Halloween.
TRIBUNTRAVEL.COM - Tengkorak yang dijual di toko barang bekas (thrift) sebagai dekorasi Halloween ternyata benar-benar asli.
S","Kunjungi Toko Dekorasi Halloween, Seorang Antropolog Malah Temukan Tengkorak Manusia Asli"
2023-11-08 13:54:23,https://mataraman.tribunnews.com/2023/11/08/pembunuhan-di-garum-blitar-polisi-telusuri-kebenaran-motif-korban-berselingkuh,tribunnews.com,"Pelaku pembunuhan terhadap istri saat berada di Polres Blitar, Rabu (8/11/2023).
TRIBUNMATARAMAN.COM - Tragedi pembunuhan seorang istri oleh suaminya di Kecamatan Garum, Kabupaten Blitar, dilatarbelakangi motif asmara.
Baca juga: Pengakuan Suami ","Pembunuhan di Garum Blitar, Polisi Telusuri Kebenaran Motif Korban Berselingkuh"
2023-11-08 13:53:16,https://jabar.antaranews.com/berita/477792/2640-polisi-amankan-pertandingan-persib-vs-arema-fc,antaranews.com,"Kota Bandung (ANTARA) - Kepolisian Resor Kota Besar Bandung, Jawa Barat, menyiapkan sebanyak 2.640 personel untuk mengamankan pertandingan antara Persib Bandung melawan Arema FC yang digelar pada pukul 15.00 WIB di Stadion Gelora Bandung Lautan A",2.640 polisi amankan pertandingan Persib vs Arema FC
2023-11-08 13:50:27,https://makassar.kompas.com/read/2023/11/08/135027778/penemuan-mayat-pria-di-dalam-got-gegerkan-warga-makassar,kompas.com,"MAKASSAR, KOMPAS.com- Sesosok mayat pria ditemukan disebuah saluran drainase atau got di jalan Kapten Piere Tendean, Kelurahan Ujung Pandang Baru, Kecamatan Tallo, Kota Makassar, Sulawesi Selatan (Sulsel), Rabu (8/11/2023).
Sontak warga di berada",Penemuan Mayat Pria di Dalam Got Gegerkan Warga Makassar
2023-11-08 13:49:27,https://www.jurnas.com/artikel/146302/Panji-Gumilang-Jaminkan-Aset-Yayasan-ke-Bank-Senilai-73-Miliar-untuk-Kepentingan-Pribadii/,jurnas.com,"Tersangka Panji Gumilang berbaju tahanan.
“APG menjaminkan aset yayasan ke bank untuk kepentingan pribadi,” ujar Robert De Deo dikutip dari laman Humas Polri, Rabu (8/11/2023).
“Aset yayasan yang dijaminkan berupa SHM.
Lebih lanjut Whisnu menyamp",Panji Gumilang Jaminkan Aset Yayasan ke Bank Senilai 73 Miliar untuk Kepentingan Pribadii
2023-11-08 13:49:19,https://www.fajar.co.id/2023/11/08/penjual-bakso-di-makassar-nyambi-jadi-maling-hp-terancam-5-tahun-penjara/,fajar.co.id,"FAJAR.CO.ID, MAKASSAR -- Seorang penjual bakso berinsial BN (42) di kota Makassar harus berurusan dengan Polisi setelah melakukan perbuatan terlarang di Masjid.
Kasi Humas Polrestabes Makassar AKP Wahiduddin mengatakan, BN merupakan seorang penju","Penjual Bakso di Makassar Nyambi Jadi Maling Hp, Terancam 5 Tahun Penjara – FAJAR"
2023-11-08 13:49:17,https://cirebon.tribunnews.com/2023/11/08/kasus-subang-terbaru-kakak-habisi-nyawa-adiknya-di-subang-gegara-warisan,tribunnews.com,"Laporan Kontributor Tribunjabar.id, Subang, Ahya NurdinTRIBUNCIREBON.COM, SUBANG - Kasus pembunuhan yang menewaskan Tasem (58) di Dusun Cigoong RT 010/004 Desa Karanghegar, Kecamatan Pabuaran,berhasil diungkap oleh Jajaran Satreskrim Subang.
Adap","Kasus Subang Terbaru, Kakak Habisi Nyawa Adiknya di Subang Gegara Warisan"
2023-11-08 13:49:00,https://www.jpnn.com/news/polda-sumsel-amankan-15-kilogram-emas-dari-tangan-perampok-di-pali,jpnn.com,"jpnn.com, PALEMBANG - Polda Sumsel meringkus komplotan perampok toko emas di Penukal Abab Lematang Ilir (Pali).
Sulian (52) yang berperan mengawasi dan memantau suasana di sekitar toko emas.
Baca Juga: Polisi Ringkus Perampok Toko Emas di PaliSer","Polda Sumsel Amankan 1,5 Kilogram Emas dari Tangan Perampok di Pali"
2023-11-08 13:48:33,https://daerah.sindonews.com/read/1246291/707/polisi-amankan-349-sepeda-motor-berknalpot-brong-saat-perayaan-1-abad-persis-solo-1699423873,sindonews.com,"Polisi Amankan 349 Sepeda Motor Berknalpot Brong saat Perayaan 1 Abad Persis Sololoading...Ratusan sepeda motor berknalpot brong diamankan Polresta Solo saat perayaan 1 Abad Persis Solo.
Foto/R August/MPI(hri)- Ratusan sepeda motor berknalpot bro",Polisi Amankan 349 Sepeda Motor Berknalpot Brong saat Perayaan 1 Abad Persis Solo
